Temps (s),CH2 (V),CH3 (V),CH4 (V)
1.0612244897959184e-06,63.0,-43.0,5.0
1.063625450180072e-06,62.0,-43.0,4.0
1.0660264105642257e-06,63.0,-43.0,4.0
1.0684273709483794e-06,63.0,-43.0,4.0
1.070828331332533e-06,61.0,-44.0,3.0
1.0732292917166867e-06,62.0,-42.0,5.0
1.0756302521008403e-06,62.0,-43.0,5.0
1.078031212484994e-06,62.0,-43.0,4.0
1.0804321728691476e-06,62.0,-42.0,4.0
1.0828331332533012e-06,61.0,-42.0,5.0
1.0852340936374549e-06,62.0,-42.0,4.0
1.0876350540216085e-06,62.0,-44.0,5.0
1.0900360144057622e-06,63.0,-42.0,4.0
1.092436974789916e-06,62.0,-43.0,4.0
1.0948379351740697e-06,62.0,-43.0,5.0
1.0972388955582233e-06,63.0,-43.0,5.0
1.099639855942377e-06,62.0,-42.0,4.0
1.1020408163265306e-06,63.0,-43.0,4.0
1.1044417767106842e-06,62.0,-43.0,4.0
1.1068427370948379e-06,61.0,-44.0,4.0
1.1092436974789915e-06,62.0,-43.0,4.0
1.1116446578631452e-06,62.0,-41.0,3.0
1.1140456182472988e-06,62.0,-43.0,5.0
1.1164465786314525e-06,62.0,-43.0,5.0
1.1188475390156061e-06,62.0,-42.0,5.0
1.1212484993997598e-06,62.0,-43.0,4.0
1.1236494597839136e-06,62.0,-43.0,4.0
1.1260504201680673e-06,62.0,-42.0,5.0
1.128451380552221e-06,61.0,-41.0,4.0
1.1308523409363746e-06,61.0,-43.0,5.0
1.1332533013205282e-06,62.0,-43.0,5.0
1.1356542617046818e-06,62.0,-43.0,5.0
1.1380552220888355e-06,63.0,-43.0,5.0
1.1404561824729891e-06,62.0,-43.0,5.0
1.1428571428571428e-06,62.0,-43.0,4.0
1.1452581032412964e-06,62.0,-44.0,5.0
1.14765906362545e-06,62.0,-43.0,5.0
1.1500600240096037e-06,61.0,-42.0,5.0
1.1524609843937576e-06,62.0,-43.0,4.0
1.1548619447779112e-06,62.0,-43.0,4.0
1.1572629051620649e-06,61.0,-43.0,4.0
1.1596638655462185e-06,62.0,-42.0,4.0
1.1620648259303721e-06,63.0,-42.0,4.0
1.1644657863145258e-06,62.0,-42.0,4.0
1.1668667466986794e-06,62.0,-43.0,5.0
1.169267707082833e-06,62.0,-43.0,4.0
1.1716686674669867e-06,62.0,-42.0,5.0
1.1740696278511404e-06,61.0,-43.0,4.0
1.176470588235294e-06,62.0,-43.0,5.0
1.1788715486194477e-06,61.0,-43.0,5.0
1.1812725090036013e-06,61.0,-42.0,4.0
1.1836734693877552e-06,63.0,-42.0,5.0
1.1860744297719088e-06,61.0,-43.0,4.0
1.1884753901560625e-06,61.0,-43.0,4.0
1.190876350540216e-06,62.0,-43.0,5.0
1.1932773109243697e-06,62.0,-42.0,5.0
1.1956782713085234e-06,62.0,-42.0,5.0
1.198079231692677e-06,62.0,-43.0,5.0
1.2004801920768307e-06,62.0,-43.0,5.0
1.2028811524609843e-06,62.0,-43.0,5.0
1.205282112845138e-06,61.0,-43.0,5.0
1.2076830732292916e-06,61.0,-42.0,4.0
1.2100840336134453e-06,62.0,-44.0,4.0
1.212484993997599e-06,62.0,-42.0,5.0
1.2148859543817528e-06,62.0,-44.0,3.0
1.2172869147659064e-06,63.0,-44.0,5.0
1.21968787515006e-06,62.0,-43.0,4.0
1.2220888355342137e-06,62.0,-43.0,4.0
1.2244897959183673e-06,62.0,-42.0,4.0
1.226890756302521e-06,61.0,-42.0,4.0
1.2292917166866746e-06,61.0,-43.0,5.0
1.2316926770708283e-06,63.0,-42.0,4.0
1.234093637454982e-06,62.0,-42.0,4.0
1.2364945978391356e-06,61.0,-43.0,5.0
1.2388955582232892e-06,61.0,-42.0,5.0
1.2412965186074428e-06,62.0,-43.0,5.0
1.2436974789915965e-06,62.0,-42.0,5.0
1.2460984393757503e-06,62.0,-43.0,5.0
1.248499399759904e-06,62.0,-42.0,5.0
1.2509003601440576e-06,62.0,-41.0,4.0
1.2533013205282113e-06,62.0,-42.0,5.0
1.255702280912365e-06,63.0,-42.0,5.0
1.2581032412965186e-06,63.0,-43.0,5.0
1.2605042016806722e-06,61.0,-42.0,4.0
1.2629051620648259e-06,62.0,-42.0,5.0
1.2653061224489795e-06,61.0,-42.0,4.0
1.2677070828331332e-06,62.0,-43.0,4.0
1.2701080432172868e-06,62.0,-43.0,4.0
1.2725090036014404e-06,62.0,-43.0,4.0
1.274909963985594e-06,62.0,-44.0,5.0
1.277310924369748e-06,62.0,-43.0,4.0
1.2797118847539016e-06,62.0,-43.0,5.0
1.2821128451380552e-06,63.0,-42.0,5.0
1.2845138055222089e-06,62.0,-43.0,5.0
1.2869147659063625e-06,61.0,-44.0,5.0
1.2893157262905162e-06,61.0,-42.0,5.0
1.2917166866746698e-06,62.0,-43.0,5.0
1.2941176470588235e-06,61.0,-43.0,4.0
1.296518607442977e-06,62.0,-42.0,5.0
1.2989195678271307e-06,62.0,-42.0,5.0
1.3013205282112844e-06,62.0,-42.0,5.0
1.303721488595438e-06,62.0,-42.0,4.0
1.3061224489795917e-06,62.0,-43.0,5.0
1.3085234093637455e-06,62.0,-43.0,5.0
1.3109243697478992e-06,62.0,-42.0,5.0
1.3133253301320528e-06,62.0,-43.0,5.0
1.3157262905162065e-06,61.0,-44.0,5.0
1.3181272509003601e-06,61.0,-42.0,5.0
1.3205282112845138e-06,62.0,-43.0,4.0
1.3229291716686674e-06,62.0,-42.0,4.0
1.325330132052821e-06,62.0,-43.0,4.0
1.3277310924369747e-06,61.0,-43.0,4.0
1.3301320528211283e-06,61.0,-43.0,4.0
1.332533013205282e-06,62.0,-43.0,4.0
1.3349339735894356e-06,61.0,-43.0,4.0
1.3373349339735895e-06,62.0,-42.0,5.0
1.3397358943577431e-06,62.0,-44.0,5.0
1.3421368547418968e-06,62.0,-43.0,4.0
1.3445378151260504e-06,61.0,-43.0,5.0
1.346938775510204e-06,62.0,-42.0,4.0
1.3493397358943577e-06,62.0,-42.0,5.0
1.3517406962785114e-06,61.0,-43.0,5.0
1.354141656662665e-06,62.0,-42.0,5.0
1.3565426170468186e-06,62.0,-42.0,4.0
1.3589435774309723e-06,61.0,-41.0,5.0
